Script started on 2023-04-05 21:38:32+05:30 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="137" LINES="18"]
[?2004h]0;yuvansasubilli@Yuvan-PC: /mnt/d/CS3205/lab4[01;32myuvansasubilli@Yuvan-PC[00m:[01;34m/mnt/d/CS3205/lab4[00m$ python3 Receive.py -d -p 7777 -n 400 -e 0.1
[?2004lSeq #:0 Time Received: 1680711000.661026 Packet dropped: false
Seq #:11 Time Received: 1680711001.9248958 Packet dropped: false
Seq #:12 Time Received: 1680711001.9356027 Packet dropped: false
Seq #:13 Time Received: 1680711001.9358153 Packet dropped: false
Seq #:14 Time Received: 1680711001.935947 Packet dropped: false
Seq #:15 Time Received: 1680711001.9463732 Packet dropped: false
Seq #:16 Time Received: 1680711001.946721 Packet dropped: false
Seq #:17 Time Received: 1680711001.946862 Packet dropped: false
Seq #:18 Time Received: 1680711001.9568686 Packet dropped: false
Seq #:19 Time Received: 1680711001.9570696 Packet dropped: false
Seq #:20 Time Received: 1680711001.9572093 Packet dropped: false
Seq #:21 Time Received: 1680711001.9684153 Packet dropped: false
Seq #:22 Time Received: 1680711001.9691997 Packet dropped: false
Seq #:23 Time Received: 1680711001.9696715 Packet dropped: false
Seq #:24 Time Received: 1680711001.9790475 Packet dropped: false
Seq #:25 Time Received: 1680711001.9792588 Packet dropped: false
Seq #:26 Time Received: 1680711001.9793828 Packet dropped: false
Seq #:27 Time Received: 1680711001.9900284 Packet dropped: false
Seq #:29 Time Received: 1680711001.99023 Packet dropped: true
Seq #:28 Time Received: 1680711002.0021052 Packet dropped: false
Seq #:29 Time Received: 1680711002.0024467 Packet dropped: false
Seq #:30 Time Received: 1680711002.002532 Packet dropped: false
Seq #:31 Time Received: 1680711002.0129006 Packet dropped: false
Seq #:32 Time Received: 1680711002.0131516 Packet dropped: false
Seq #:33 Time Received: 1680711002.01328 Packet dropped: false
Seq #:34 Time Received: 1680711002.023686 Packet dropped: false
Seq #:35 Time Received: 1680711002.023883 Packet dropped: false
Seq #:36 Time Received: 1680711002.023938 Packet dropped: false
Seq #:37 Time Received: 1680711002.0357819 Packet dropped: false
Seq #:38 Time Received: 1680711002.0363543 Packet dropped: false
Seq #:39 Time Received: 1680711002.0471587 Packet dropped: false
Seq #:40 Time Received: 1680711002.0476549 Packet dropped: false
Seq #:41 Time Received: 1680711002.047895 Packet dropped: false
Seq #:42 Time Received: 1680711002.057956 Packet dropped: false
Seq #:43 Time Received: 1680711002.0581503 Packet dropped: false
Seq #:44 Time Received: 1680711002.058268 Packet dropped: false
Seq #:45 Time Received: 1680711002.0693743 Packet dropped: false
Seq #:46 Time Received: 1680711002.0696714 Packet dropped: false
Seq #:47 Time Received: 1680711002.069775 Packet dropped: false
Seq #:48 Time Received: 1680711002.0802078 Packet dropped: false
Seq #:49 Time Received: 1680711002.080612 Packet dropped: false
Seq #:50 Time Received: 1680711002.0808976 Packet dropped: false
Seq #:51 Time Received: 1680711002.0910816 Packet dropped: false
Seq #:52 Time Received: 1680711002.091278 Packet dropped: false
Seq #:53 Time Received: 1680711002.091425 Packet dropped: false
Seq #:54 Time Received: 1680711002.102509 Packet dropped: false
Seq #:55 Time Received: 1680711002.1027563 Packet dropped: false
Seq #:56 Time Received: 1680711002.102891 Packet dropped: false
Seq #:57 Time Received: 1680711002.1137776 Packet dropped: false
Seq #:58 Time Received: 1680711002.114237 Packet dropped: false
Seq #:59 Time Received: 1680711002.1144173 Packet dropped: false
Seq #:60 Time Received: 1680711002.1241994 Packet dropped: false
Seq #:61 Time Received: 1680711002.1244059 Packet dropped: false
Seq #:62 Time Received: 1680711002.1245103 Packet dropped: false
Seq #:64 Time Received: 1680711002.1355367 Packet dropped: true
Seq #:65 Time Received: 1680711002.135786 Packet dropped: true
Seq #:63 Time Received: 1680711002.1460521 Packet dropped: false
Seq #:64 Time Received: 1680711002.1462698 Packet dropped: false
Seq #:65 Time Received: 1680711002.14634 Packet dropped: false
Seq #:66 Time Received: 1680711002.1565201 Packet dropped: false
Seq #:67 Time Received: 1680711002.1566973 Packet dropped: false
Seq #:68 Time Received: 1680711002.1684668 Packet dropped: false
Seq #:69 Time Received: 1680711002.1690059 Packet dropped: false
Seq #:70 Time Received: 1680711002.169159 Packet dropped: false
Seq #:71 Time Received: 1680711002.1790464 Packet dropped: false
Seq #:72 Time Received: 1680711002.1792684 Packet dropped: false
Seq #:73 Time Received: 1680711002.1794007 Packet dropped: false
Seq #:74 Time Received: 1680711002.189906 Packet dropped: false
Seq #:75 Time Received: 1680711002.1901376 Packet dropped: false
Seq #:76 Time Received: 1680711002.1902666 Packet dropped: false
Seq #:78 Time Received: 1680711002.202699 Packet dropped: true
Seq #:79 Time Received: 1680711002.203135 Packet dropped: true
Seq #:77 Time Received: 1680711002.2137594 Packet dropped: false
Seq #:78 Time Received: 1680711002.2141569 Packet dropped: false
Seq #:79 Time Received: 1680711002.2144248 Packet dropped: false
Seq #:80 Time Received: 1680711002.2245057 Packet dropped: false
Seq #:81 Time Received: 1680711002.2247021 Packet dropped: false
Seq #:82 Time Received: 1680711002.2248192 Packet dropped: false
Seq #:83 Time Received: 1680711002.2358925 Packet dropped: false
Seq #:84 Time Received: 1680711002.2361765 Packet dropped: false
Seq #:85 Time Received: 1680711002.236226 Packet dropped: false
Seq #:86 Time Received: 1680711002.246582 Packet dropped: false
Seq #:87 Time Received: 1680711002.2470765 Packet dropped: false
Seq #:88 Time Received: 1680711002.2471995 Packet dropped: false
Seq #:89 Time Received: 1680711002.2579024 Packet dropped: false
Seq #:91 Time Received: 1680711002.2581046 Packet dropped: true
Seq #:91 Time Received: 1680711002.2696705 Packet dropped: true
Seq #:92 Time Received: 1680711002.2699013 Packet dropped: true
Seq #:90 Time Received: 1680711002.280493 Packet dropped: false
Seq #:91 Time Received: 1680711002.2808907 Packet dropped: false
Seq #:92 Time Received: 1680711002.2912915 Packet dropped: false
Seq #:93 Time Received: 1680711002.2915125 Packet dropped: false
Seq #:94 Time Received: 1680711002.291627 Packet dropped: false
Seq #:95 Time Received: 1680711002.302471 Packet dropped: false
Seq #:96 Time Received: 1680711002.3026583 Packet dropped: false
Seq #:97 Time Received: 1680711002.3129356 Packet dropped: false
Seq #:98 Time Received: 1680711002.3131654 Packet dropped: false
Seq #:99 Time Received: 1680711002.3132818 Packet dropped: false
Seq #:100 Time Received: 1680711002.3237517 Packet dropped: false
Seq #:101 Time Received: 1680711002.3239512 Packet dropped: false
Seq #:102 Time Received: 1680711002.335242 Packet dropped: false
Seq #:103 Time Received: 1680711002.3355887 Packet dropped: false
Seq #:105 Time Received: 1680711002.3458622 Packet dropped: true
Seq #:106 Time Received: 1680711002.3462143 Packet dropped: true
